Contents of group 40209 (XBP) in the cisRED C.elegans 4 database
-------------------------------------------------
Index	Atomic motif ID (craCele)	Annotation p-value	Discovery p-value	Motif location	Annotated strand	In pattern(s): crmCele (name)	Name(s) associated with the search region that contains this motif
42	71226	3.08E-06	1.00E-08	CHROMOSOME_X: 15,274,103-15,274,152	+	------	F46F2.2d
43	71107	3.08E-06	1.00E-08	CHROMOSOME_X: 15,274,105-15,274,150	+	------	F46F2.2a
44	89815	3.30E-06	7.57E-01	CHROMOSOME_X: 2,488,961-2,488,975	-	------	K02E10.2a
45	89861	3.30E-06	5.23E-01	CHROMOSOME_X: 2,488,962-2,488,973	-	------	K02E10.2b
46	20701	3.68E-06	4.95E-02	CHROMOSOME_I: 5,409,670-5,409,731	+	------	C24A11.8a
47	20738	3.68E-06	1.56E-01	CHROMOSOME_I: 5,409,670-5,409,731	+	------	C24A11.8b
48	136865	3.95E-06	6.33E-01	CHROMOSOME_I: 1,061,742-1,061,753	-	------	Y34D9A.2
49	141960	3.95E-06	7.56E-02	CHROMOSOME_II: 14,249,226-14,249,239	-	------	Y48B6A.14
50	136866	3.95E-06	6.40E-01	CHROMOSOME_I: 1,061,755-1,061,768	-	------	Y34D9A.2
51	92607	4.05E-06	9.38E-01	CHROMOSOME_I: 2,598,877-2,598,885	-	------	K07A3.3b
52	92566	4.05E-06	9.38E-01	CHROMOSOME_I: 2,598,877-2,598,885	-	------	K07A3.3a
53	72720	4.07E-06	7.86E-01	CHROMOSOME_III: 6,279,623-6,279,634	+	------	F47D12.4a
54	72719	4.07E-06	2.16E-01	CHROMOSOME_III: 6,279,615-6,279,622	+	------	F47D12.4a
55	72858	4.07E-06	5.12E-01	CHROMOSOME_III: 6,279,613-6,279,622	+	------	F47D12.4c
56	72785	4.07E-06	7.74E-01	CHROMOSOME_III: 6,279,610-6,279,622	+	------	F47D12.4b
57	23576	4.32E-06	3.62E-01	CHROMOSOME_III: 4,450,209-4,450,216	+	------	C28A5.4
58	23578	4.32E-06	5.78E-01	CHROMOSOME_III: 4,450,199-4,450,212	+	------	C28A5.4
59	23577	4.32E-06	4.97E-01	CHROMOSOME_III: 4,450,206-4,450,222	+	------	C28A5.4
60	55556	4.37E-06	5.35E-01	CHROMOSOME_V: 10,536,121-10,536,133	+	------	F25D1.1a
61	49979	4.53E-06	9.88E-01	CHROMOSOME_X: 5,611,542-5,611,555	-	------	F14D12.6a
62	33991	4.53E-06	7.47E-01	CHROMOSOME_III: 3,664,975-3,664,990	-	------	C46F11.4
63	50041	4.53E-06	9.88E-01	CHROMOSOME_X: 5,611,542-5,611,555	-	------	F14D12.6b
64	33990	4.53E-06	8.06E-01	CHROMOSOME_III: 3,664,984-3,664,997	-	------	C46F11.4
65	8128	4.60E-06	7.12E-01	CHROMOSOME_X: 8,527,022-8,527,033	-	------	C03G5.7
66	8129	4.60E-06	4.60E-01	CHROMOSOME_X: 8,527,007-8,527,029	-	------	C03G5.7
67	151562	4.90E-06	7.94E-01	CHROMOSOME_IV: 15,471,610-15,471,625	+	------	Y73F8A.25a
68	73861	4.90E-06	8.98E-01	CHROMOSOME_X: 4,249,220-4,249,232	-	------	F48D6.3
69	73860	4.90E-06	6.23E-02	CHROMOSOME_X: 4,249,213-4,249,221	-	------	F48D6.3
70	149485	4.90E-06	8.45E-01	CHROMOSOME_I: 2,901,255-2,901,269	-	------	Y71F9AL.17
71	151056	4.99E-06	5.20E-01	CHROMOSOME_X: 11,631,257-11,631,271	-	------	Y71H9A.2
72	101598	5.01E-06	4.24E-01	CHROMOSOME_II: 4,908,802-4,908,814	-	------	R05F9.1c
73	30661	5.01E-06	2.68E-01	CHROMOSOME_III: 10,386,618-10,386,637	+	------	C38H2.3
74	154529	5.06E-06	9.60E-01	CHROMOSOME_IV: 3,623,688-3,623,700	-	------	ZC416.8a
75	117473	5.08E-06	7.72E-01	CHROMOSOME_V: 9,879,398-9,879,411	-	------	T11A5.7
76	91178	5.17E-06	4.74E-01	CHROMOSOME_X: 1,053,179-1,053,190	-	------	K03E6.3
77	38370	5.18E-06	1.91E-01	CHROMOSOME_X: 7,201,361-7,201,414	-	------	C55B6.1b
78	69265	5.18E-06	1.26E-01	CHROMOSOME_II: 11,055,086-11,055,134	-	------	F45E10.2a
79	53534	5.20E-06	9.38E-01	CHROMOSOME_III: 6,601,919-6,601,936	-	------	F20H11.6
80	56121	5.21E-06	9.97E-01	CHROMOSOME_I: 10,549,653-10,549,664	-	------	F25H2.4
81	36018	5.22E-06	5.76E-01	CHROMOSOME_II: 10,731,633-10,731,652	+	------	C52A11.2
82	36017	5.22E-06	2.07E-01	CHROMOSOME_II: 10,731,651-10,731,661	+	------	C52A11.2
83	29631	5.24E-06	8.78E-01	CHROMOSOME_V: 7,854,456-7,854,477	+	------	C37C3.2a
84	29722	5.24E-06	9.64E-01	CHROMOSOME_V: 7,854,475-7,854,487	+	------	C37C3.2b
85	29807	5.24E-06	9.98E-01	CHROMOSOME_V: 7,854,461-7,854,496	+	------	C37C3.2c
86	29721	5.24E-06	9.73E-01	CHROMOSOME_V: 7,854,459-7,854,480	+	------	C37C3.2b
87	29632	5.24E-06	9.94E-01	CHROMOSOME_V: 7,854,474-7,854,487	+	------	C37C3.2a
88	27219	5.32E-06	6.94E-02	CHROMOSOME_IV: 7,134,209-7,134,231	-	------	C34D4.13
89	7580	5.64E-06	5.38E-01	CHROMOSOME_X: 763,437-763,447	+	------	C02H7.1
90	45429	5.64E-06	7.85E-01	CHROMOSOME_X: 10,158,794-10,158,835	-	------	F09B9.3
91	152175	5.64E-06	8.89E-01	CHROMOSOME_III: 12,020,133-12,020,150	-	------	Y79H2A.1a
92	152221	5.64E-06	8.89E-01	CHROMOSOME_III: 12,020,133-12,020,150	-	------	Y79H2A.1b
93	53041	5.69E-06	6.35E-01	CHROMOSOME_V: 7,016,082-7,016,091	+	------	F20A1.3
94	53040	5.69E-06	7.72E-01	CHROMOSOME_V: 7,016,077-7,016,086	+	------	F20A1.3
95	44513	5.75E-06	7.60E-01	CHROMOSOME_X: 7,578,028-7,578,041	-	------	F08C6.2b
96	131147	5.75E-06	3.72E-01	CHROMOSOME_V: 13,047,495-13,047,508	+	------	W07G4.5b
97	131146	5.75E-06	2.06E-01	CHROMOSOME_V: 13,047,487-13,047,496	+	------	W07G4.5b
98	33838	5.75E-06	2.22E-01	CHROMOSOME_IV: 9,211,987-9,211,994	-	------	C46C2.6b
99	125797	5.81E-06	9.96E-01	CHROMOSOME_III: 9,409,340-9,409,357	+	------	T26G10.1
100	37797	5.82E-06	9.56E-01	CHROMOSOME_I: 8,024,595-8,024,608	+	------	C54G4.8
101	156842	5.82E-06	2.65E-01	CHROMOSOME_II: 7,554,189-7,554,219	+	------	ZK1290.10
102	150022	5.85E-06	9.91E-01	CHROMOSOME_I: 1,777,039-1,777,052	-	------	Y71G12B.25
103	26999	5.85E-06	3.50E-01	CHROMOSOME_III: 3,486,450-3,486,459	-	------	C34C12.7
104	68580	5.85E-06	4.74E-01	CHROMOSOME_V: 9,317,069-9,317,076	-	------	F44A2.2
105	60005	5.85E-06	4.95E-01	CHROMOSOME_V: 6,276,469-6,276,480	-	------	F31F7.1a
106	68579	5.85E-06	3.80E-01	CHROMOSOME_V: 9,317,060-9,317,071	-	------	F44A2.2
107	144697	5.85E-06	6.73E-01	CHROMOSOME_II: 14,296,630-14,296,643	+	------	Y54G11A.7
108	142497	5.85E-06	7.42E-01	CHROMOSOME_I: 1,219,464-1,219,475	-	------	Y48G8AL.12
109	140771	5.85E-06	5.15E-01	CHROMOSOME_II: 12,805,753-12,805,762	+	------	Y46G5A.19
110	60110	5.85E-06	4.95E-01	CHROMOSOME_V: 6,276,469-6,276,480	-	------	F31F7.1c
111	20115	5.85E-06	2.30E-01	CHROMOSOME_II: 8,988,017-8,988,022	+	------	C18E9.8
112	144696	5.85E-06	5.35E-01	CHROMOSOME_II: 14,296,623-14,296,635	+	------	Y54G11A.7
113	140770	5.85E-06	6.69E-01	CHROMOSOME_II: 12,805,744-12,805,753	+	------	Y46G5A.19
114	60056	5.85E-06	4.95E-01	CHROMOSOME_V: 6,276,469-6,276,480	-	------	F31F7.1b
115	88940	6.08E-06	4.98E-01	CHROMOSOME_III: 8,877,086-8,877,099	+	------	K01F9.2
116	72318	6.09E-06	8.79E-01	CHROMOSOME_X: 10,901,807-10,901,826	+	------	F47B10.7
117	51339	6.10E-06	8.73E-01	CHROMOSOME_V: 10,428,086-10,428,099	-	------	F15H10.4
118	120800	6.26E-06	9.88E-01	CHROMOSOME_X: 662,230-662,237	+	------	T19D7.4
119	113650	6.35E-06	8.49E-01	CHROMOSOME_IV: 393,199-393,208	+	------	T07A9.9b
120	125830	6.35E-06	9.39E-01	CHROMOSOME_X: 3,584,456-3,584,476	+	------	T27A10.2
121	7677	6.35E-06	5.15E-01	CHROMOSOME_X: 760,326-760,335	+	------	C02H7.3a
122	159809	6.35E-06	4.68E-01	CHROMOSOME_III: 9,818,189-9,818,198	+	------	ZK632.6
123	117964	6.35E-06	2.30E-01	CHROMOSOME_II: 1,108,328-1,108,339	-	------	T13B5.4
124	113649	6.35E-06	7.51E-01	CHROMOSOME_IV: 393,186-393,197	+	------	T07A9.9b
125	17207	6.35E-06	8.48E-01	CHROMOSOME_V: 14,426,141-14,426,146	+	------	C15H11.9
126	113425	6.35E-06	4.94E-01	CHROMOSOME_I: 12,723,891-12,723,902	-	------	T06G6.12
127	113606	6.35E-06	4.15E-01	CHROMOSOME_IV: 393,198-393,203	+	------	T07A9.9a
128	159878	6.35E-06	4.64E-01	CHROMOSOME_III: 9,818,185-9,818,196	+	------	ZK632.7
129	125831	6.35E-06	8.20E-02	CHROMOSOME_X: 3,584,476-3,584,483	+	------	T27A10.2
130	113605	6.35E-06	4.97E-01	CHROMOSOME_IV: 393,186-393,197	+	------	T07A9.9a
131	54938	6.61E-06	8.75E-01	CHROMOSOME_III: 925,226-925,243	+	------	F23H11.8b
132	65288	6.61E-06	2.22E-01	CHROMOSOME_X: 14,708,044-14,708,058	+	------	F40E10.6
133	60800	6.61E-06	5.78E-01	CHROMOSOME_V: 13,359,735-13,359,747	+	------	F32H5.4
134	44529	6.66E-06	6.68E-01	CHROMOSOME_X: 7,578,383-7,578,399	+	------	F08C6.2b
135	84126	6.71E-06	9.43E-01	CHROMOSOME_V: 14,012,131-14,012,144	+	------	F58E10.4
136	145409	6.71E-06	2.24E-01	CHROMOSOME_III: 601,085-601,092	-	------	Y55B1AR.1
137	84125	6.71E-06	9.53E-01	CHROMOSOME_V: 14,012,111-14,012,134	+	------	F58E10.4
138	125687	6.74E-06	9.82E-01	CHROMOSOME_I: 12,663,711-12,663,720	+	------	T26E3.4
139	141206	6.76E-06	9.10E-01	CHROMOSOME_III: 11,142,097-11,142,110	-	------	Y47D3A.29
140	71256	6.82E-06	2.54E-01	CHROMOSOME_X: 15,261,715-15,261,729	-	------	F46F2.3
141	71255	6.82E-06	7.49E-01	CHROMOSOME_X: 15,261,725-15,261,736	-	------	F46F2.3
142	102572	6.84E-06	1.00E-08	CHROMOSOME_X: 15,118,060-15,118,067	+	------	R07D5.2
143	63693	6.85E-06	7.72E-01	CHROMOSOME_II: 11,015,347-11,015,360	+	------	F38A3.1
144	116502	6.86E-06	2.57E-01	CHROMOSOME_X: 15,200,227-15,200,238	-	------	T10B10.5
145	10687	6.86E-06	3.79E-01	CHROMOSOME_V: 11,138,316-11,138,354	-	------	C06H2.5
146	109351	6.86E-06	8.92E-01	CHROMOSOME_III: 4,018,703-4,018,714	+	------	T02C12.2
147	157975	6.86E-06	5.91E-01	CHROMOSOME_III: 6,031,319-6,031,334	-	------	ZK328.6
148	17393	6.86E-06	2.93E-01	CHROMOSOME_X: 6,092,202-6,092,215	-	------	C15H9.5
149	60785	6.88E-06	7.08E-01	CHROMOSOME_V: 10,564,482-10,564,497	+	------	F32G8.6
150	34150	6.98E-06	9.60E-01	CHROMOSOME_X: 5,932,266-5,932,290	-	------	C46F4.1
151	146104	6.98E-06	7.96E-01	CHROMOSOME_III: 11,834,188-11,834,203	-	------	Y56A3A.1b
152	94279	7.05E-06	1.91E-01	CHROMOSOME_III: 13,767,939-13,767,963	+	------	K08E3.5d
153	94229	7.05E-06	7.20E-02	CHROMOSOME_III: 13,767,935-13,767,949	+	------	K08E3.5b
154	94228	7.05E-06	2.12E-01	CHROMOSOME_III: 13,767,949-13,767,964	+	------	K08E3.5b
155	108048	7.07E-06	7.56E-01	CHROMOSOME_V: 12,896,906-12,896,922	+	------	R90.1
156	11757	7.07E-06	2.30E-01	CHROMOSOME_III: 4,502,120-4,502,125	+	------	C07G2.3b
157	97158	7.07E-06	8.80E-01	CHROMOSOME_V: 15,257,268-15,257,279	+	------	M01B2.9
158	11760	7.07E-06	8.49E-01	CHROMOSOME_III: 4,502,109-4,502,124	+	------	C07G2.3b
159	11756	7.07E-06	2.94E-01	CHROMOSOME_III: 4,502,115-4,502,126	+	------	C07G2.3b
160	11759	7.07E-06	6.78E-01	CHROMOSOME_III: 4,502,118-4,502,134	+	------	C07G2.3b
161	11755	7.07E-06	3.11E-01	CHROMOSOME_III: 4,502,117-4,502,126	+	------	C07G2.3b
162	108049	7.07E-06	4.23E-01	CHROMOSOME_V: 12,896,899-12,896,912	+	------	R90.1
163	11758	7.07E-06	1.00E-08	CHROMOSOME_III: 4,502,119-4,502,124	+	------	C07G2.3b
164	97159	7.07E-06	3.16E-01	CHROMOSOME_V: 15,257,263-15,257,272	+	------	M01B2.9
165	147928	7.09E-06	9.94E-01	CHROMOSOME_I: 14,113,191-14,113,204	+	------	Y63D3A.6a
166	147992	7.09E-06	9.56E-01	CHROMOSOME_I: 14,113,177-14,113,197	+	------	Y63D3A.6b
167	147929	7.09E-06	8.98E-01	CHROMOSOME_I: 14,113,179-14,113,197	+	------	Y63D3A.6a
168	117633	7.09E-06	8.98E-01	CHROMOSOME_V: 11,458,680-11,458,689	-	------	T11F9.1
169	78994	7.09E-06	7.57E-01	CHROMOSOME_III: 8,802,109-8,802,124	+	------	F54F2.2c
170	148029	7.09E-06	3.67E-01	CHROMOSOME_I: 14,113,178-14,113,199	+	------	Y63D3A.7
171	84228	7.10E-06	4.62E-01	CHROMOSOME_V: 13,659,684-13,659,707	-	------	F58G11.1a
172	21572	7.10E-06	1.08E-01	CHROMOSOME_III: 11,774,540-11,774,588	-	------	C24H11.7
173	81937	7.10E-06	3.84E-01	CHROMOSOME_III: 4,478,950-4,478,961	-	------	F56F3.6
174	156747	7.10E-06	2.98E-01	CHROMOSOME_II: 5,829,806-5,829,817	-	------	ZK1248.2
175	113264	7.10E-06	5.66E-02	CHROMOSOME_II: 11,239,442-11,239,461	-	------	T06D8.9
176	84227	7.10E-06	7.96E-01	CHROMOSOME_V: 13,659,663-13,659,683	-	------	F58G11.1a
177	156746	7.10E-06	2.80E-01	CHROMOSOME_II: 5,829,798-5,829,811	-	------	ZK1248.2
178	84280	7.10E-06	5.86E-01	CHROMOSOME_V: 13,659,667-13,659,696	-	------	F58G11.1b
179	156745	7.10E-06	1.37E-01	CHROMOSOME_II: 5,829,802-5,829,809	-	------	ZK1248.2
180	21573	7.10E-06	8.46E-01	CHROMOSOME_III: 11,774,534-11,774,547	-	------	C24H11.7
181	26747	7.10E-06	9.08E-01	CHROMOSOME_I: 10,672,654-10,672,661	-	------	C34B2.4
182	151752	7.12E-06	4.66E-01	CHROMOSOME_III: 12,218,604-12,218,613	-	------	Y75B8A.14
183	121969	7.12E-06	6.12E-01	CHROMOSOME_V: 1,176,441-1,176,450	+	------	T21H3.1a
184	121968	7.12E-06	4.74E-01	CHROMOSOME_V: 1,176,437-1,176,442	+	------	T21H3.1a
185	75792	7.29E-06	7.57E-01	CHROMOSOME_X: 460,375-460,390	+	------	F52D1.1
186	66112	7.29E-06	8.50E-01	CHROMOSOME_II: 6,170,705-6,170,718	-	------	F40H3.3
187	44724	7.30E-06	6.75E-01	CHROMOSOME_X: 7,573,921-7,573,937	+	------	F08C6.7
188	44723	7.30E-06	8.48E-01	CHROMOSOME_X: 7,573,932-7,573,945	+	------	F08C6.7
189	126614	7.30E-06	6.89E-01	CHROMOSOME_X: 6,597,383-6,597,397	-	------	T28B4.3
190	15717	7.34E-06	9.95E-01	CHROMOSOME_III: 8,136,735-8,136,748	+	------	C14B9.1
191	154071	7.34E-06	1.40E-01	CHROMOSOME_V: 5,470,864-5,470,871	-	------	ZC317.7
192	15716	7.34E-06	9.21E-01	CHROMOSOME_III: 8,136,722-8,136,735	+	------	C14B9.1
193	19867	7.37E-06	6.35E-01	CHROMOSOME_III: 11,807,745-11,807,759	+	------	C18D11.7
194	94990	7.37E-06	7.84E-01	CHROMOSOME_X: 10,958,074-10,958,085	-	------	K09C8.6
195	157649	7.53E-06	1.62E-01	CHROMOSOME_II: 5,512,550-5,512,559	+	------	ZK177.8b
196	151490	7.53E-06	6.33E-01	CHROMOSOME_I: 1,627,096-1,627,113	+	------	Y73E7A.7
197	104780	7.55E-06	7.07E-01	CHROMOSOME_II: 4,091,646-4,091,662	-	------	R11F4.1
198	110051	7.58E-06	4.95E-01	CHROMOSOME_V: 20,824,330-20,824,341	-	------	T03D8.3
199	110052	7.58E-06	8.67E-01	CHROMOSOME_V: 20,824,312-20,824,334	-	------	T03D8.3
200	143888	7.62E-06	4.70E-01	CHROMOSOME_III: 3,285,969-3,285,982	-	------	Y53G8AR.7b
201	143887	7.62E-06	8.00E-01	CHROMOSOME_III: 3,285,953-3,285,973	-	------	Y53G8AR.7b
202	149495	7.62E-06	5.19E-01	CHROMOSOME_I: 2,900,875-2,900,890	-	------	Y71F9AL.17
203	161494	7.62E-06	8.67E-02	CHROMOSOME_III: 9,891,500-9,891,505	+	------	ZK757.3b
204	123628	7.88E-06	9.10E-01	CHROMOSOME_X: 5,505,178-5,505,191	-	------	T23F2.2a
205	10705	7.94E-06	5.24E-01	CHROMOSOME_V: 11,138,687-11,138,707	+	------	C06H2.5
206	47336	7.99E-06	4.99E-01	CHROMOSOME_IV: 12,094,080-12,094,102	-	------	F11A10.8
207	1452	7.99E-06	8.67E-01	CHROMOSOME_I: 10,708,388-10,708,409	-	------	B0205.10
208	117343	7.99E-06	6.51E-01	CHROMOSOME_V: 6,649,121-6,649,137	-	------	T10H9.1
209	39209	7.99E-06	9.72E-01	CHROMOSOME_III: 3,389,078-3,389,100	-	------	C56G7.3
210	49354	8.03E-06	6.51E-01	CHROMOSOME_I: 7,290,618-7,290,630	-	------	F13G3.1
211	49353	8.03E-06	1.00E-08	CHROMOSOME_I: 7,290,609-7,290,614	-	------	F13G3.1
212	130338	8.04E-06	1.40E-01	CHROMOSOME_I: 9,055,669-9,055,676	-	------	W06D4.2
213	83367	8.04E-06	5.84E-01	CHROMOSOME_X: 12,172,663-12,172,676	-	------	F57G12.1
214	83368	8.04E-06	9.20E-01	CHROMOSOME_X: 12,172,648-12,172,669	-	------	F57G12.1
215	69416	8.05E-06	8.56E-01	CHROMOSOME_X: 8,007,467-8,007,490	+	------	F45E1.1
216	69418	8.05E-06	3.10E-01	CHROMOSOME_X: 8,007,492-8,007,506	+	------	F45E1.1
217	69417	8.05E-06	7.73E-01	CHROMOSOME_X: 8,007,484-8,007,497	+	------	F45E1.1
218	133427	8.07E-06	9.96E-01	CHROMOSOME_I: 14,631,952-14,631,969	+	------	Y105E8B.1f
219	14767	8.07E-06	4.68E-01	CHROMOSOME_V: 10,255,211-10,255,220	+	------	C12D8.11
220	21406	8.09E-06	1.00E-08	CHROMOSOME_V: 5,528,239-5,528,244	-	------	C24G6.2b
221	18877	8.09E-06	6.73E-01	CHROMOSOME_X: 8,066,948-8,066,961	-	------	C18A11.2
222	148400	8.09E-06	8.45E-01	CHROMOSOME_III: 11,560,300-11,560,318	+	------	Y66D12A.12
223	66667	8.39E-06	7.52E-01	CHROMOSOME_V: 8,606,406-8,606,446	+	------	F41E6.9
224	112563	8.39E-06	2.93E-01	CHROMOSOME_IV: 11,119,300-11,119,314	-	------	T05E11.5
225	66666	8.39E-06	9.62E-01	CHROMOSOME_V: 8,606,403-8,606,414	+	------	F41E6.9
226	112562	8.39E-06	5.84E-01	CHROMOSOME_IV: 11,119,307-11,119,323	-	------	T05E11.5
227	111971	8.48E-06	7.86E-02	CHROMOSOME_X: 10,778,830-10,778,904	+	------	T05A10.1h
228	111970	8.48E-06	1.40E-01	CHROMOSOME_X: 10,778,834-10,778,841	+	------	T05A10.1h
229	133295	8.64E-06	9.00E-01	CHROMOSOME_I: 14,626,799-14,626,806	-	------	Y105E8B.1c
230	129435	8.64E-06	5.00E-01	CHROMOSOME_X: 11,057,007-11,057,022	-	------	W04G3.8
231	133294	8.64E-06	8.40E-01	CHROMOSOME_I: 14,626,804-14,626,817	-	------	Y105E8B.1c
232	129434	8.64E-06	5.60E-01	CHROMOSOME_X: 11,056,996-11,057,013	-	------	W04G3.8
233	99213	8.77E-06	9.97E-01	CHROMOSOME_X: 12,146,217-12,146,252	+	------	M153.1
234	42370	8.78E-06	9.52E-01	CHROMOSOME_II: 7,195,964-7,195,983	-	------	E04F6.3
235	155315	8.83E-06	9.44E-01	CHROMOSOME_V: 8,031,339-8,031,357	-	------	ZC513.4
236	155314	8.83E-06	9.46E-01	CHROMOSOME_V: 8,031,330-8,031,346	-	------	ZC513.4
237	129099	8.83E-06	2.76E-01	CHROMOSOME_X: 12,109,020-12,109,027	+	------	W03G11.2
238	52691	8.83E-06	8.40E-02	CHROMOSOME_X: 9,246,840-9,246,847	-	------	F18G5.3
239	23359	8.89E-06	2.96E-01	CHROMOSOME_II: 7,183,563-7,183,574	-	------	C27H5.1
240	43986	9.15E-06	9.94E-01	CHROMOSOME_V: 7,298,204-7,298,215	-	------	F07G11.5
241	117332	9.16E-06	5.04E-01	CHROMOSOME_V: 6,648,763-6,648,776	-	------	T10H9.1
242	117333	9.16E-06	9.54E-01	CHROMOSOME_V: 6,648,771-6,648,792	-	------	T10H9.1
243	34056	9.32E-06	4.30E-01	CHROMOSOME_III: 3,671,782-3,671,798	+	------	C46F11.6
244	52639	9.39E-06	8.22E-01	CHROMOSOME_X: 9,245,727-9,245,736	+	------	F18G5.3
245	23612	9.39E-06	7.77E-01	CHROMOSOME_IV: 8,472,662-8,472,678	-	------	C28C12.11
246	52638	9.39E-06	8.76E-01	CHROMOSOME_X: 9,245,716-9,245,731	+	------	F18G5.3
247	69990	9.40E-06	4.47E-01	CHROMOSOME_III: 13,426,145-13,426,161	+	------	F45G2.4
248	74594	9.40E-06	7.50E-01	CHROMOSOME_II: 8,396,147-8,396,162	+	------	F49E12.7
249	57997	9.40E-06	5.03E-02	CHROMOSOME_I: 7,706,862-7,706,921	+	------	F27D4.2
250	11961	9.66E-06	7.12E-01	CHROMOSOME_V: 10,113,347-10,113,358	-	------	C08B6.4b
251	38288	9.91E-06	2.56E-01	CHROMOSOME_X: 5,781,276-5,781,283	+	------	C54H2.5
252	159491	9.91E-06	1.00E-08	CHROMOSOME_II: 5,281,227-5,281,234	-	------	ZK622.3c
