Genome project,Gene stable ID,Human gene name
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000009,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A6
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A10
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A14
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A2
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A3
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A1
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A5
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A8
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A7
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A13
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A11
caenorhabditis_elegans_prjna13758,WBGene00000010,SLC7A9
caenorhabditis_elegans_prjna13758,WBGene00000012,
caenorhabditis_elegans_prjna13758,WBGene00000013,
caenorhabditis_elegans_prjna13758,WBGene00000014,
caenorhabditis_elegans_prjna13758,WBGene00000015,
caenorhabditis_elegans_prjna13758,WBGene00000016,
caenorhabditis_elegans_prjna13758,WBGene00000017,
caenorhabditis_elegans_prjna13758,WBGene00000018,
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA4
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA1
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA8
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA5
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA9
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA6
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA2
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA3
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA12
caenorhabditis_elegans_prjna13758,WBGene00000019,ABCA13
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA8
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA5
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA9
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA6
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA12
caenorhabditis_elegans_prjna13758,WBGene00000020,ABCA13
caenorhabditis_elegans_prjna13758,WBGene00000021,
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA4
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA8
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA5
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA9
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA6
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA12
caenorhabditis_elegans_prjna13758,WBGene00000022,ABCA13
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA4
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA1
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA8
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA5
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA9
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA6
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA2
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA3
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA12
caenorhabditis_elegans_prjna13758,WBGene00000023,ABCA13
caenorhabditis_elegans_prjna13758,WBGene00000024,
caenorhabditis_elegans_prjna13758,WBGene00000025,
caenorhabditis_elegans_prjna13758,WBGene00000026,
caenorhabditis_elegans_prjna13758,WBGene00000027,
caenorhabditis_elegans_prjna13758,WBGene00000028,
caenorhabditis_elegans_prjna13758,WBGene00000029,
caenorhabditis_elegans_prjna13758,WBGene00000030,
caenorhabditis_elegans_prjna13758,WBGene00000031,
caenorhabditis_elegans_prjna13758,WBGene00000032,
caenorhabditis_elegans_prjna13758,WBGene00000033,
caenorhabditis_elegans_prjna13758,WBGene00000034,
caenorhabditis_elegans_prjna13758,WBGene00000035,
caenorhabditis_elegans_prjna13758,WBGene00000036,BCHE
caenorhabditis_elegans_prjna13758,WBGene00000037,CES3
caenorhabditis_elegans_prjna13758,WBGene00000037,NLGN4X
caenorhabditis_elegans_prjna13758,WBGene00000037,NLGN4Y
caenorhabditis_elegans_prjna13758,WBGene00000037,CES1
caenorhabditis_elegans_prjna13758,WBGene00000037,CEL
caenorhabditis_elegans_prjna13758,WBGene00000037,CES4A
caenorhabditis_elegans_prjna13758,WBGene00000037,NLGN3
caenorhabditis_elegans_prjna13758,WBGene00000037,NLGN1
caenorhabditis_elegans_prjna13758,WBGene00000037,CES5A
caenorhabditis_elegans_prjna13758,WBGene00000037,CES2
caenorhabditis_elegans_prjna13758,WBGene00000037,NLGN2
caenorhabditis_elegans_prjna13758,WBGene00000038,CES3
caenorhabditis_elegans_prjna13758,WBGene00000038,NLGN4X
caenorhabditis_elegans_prjna13758,WBGene00000038,NLGN4Y
caenorhabditis_elegans_prjna13758,WBGene00000038,CES1
caenorhabditis_elegans_prjna13758,WBGene00000038,CEL
caenorhabditis_elegans_prjna13758,WBGene00000038,CES4A
caenorhabditis_elegans_prjna13758,WBGene00000038,NLGN3
caenorhabditis_elegans_prjna13758,WBGene00000038,NLGN1
caenorhabditis_elegans_prjna13758,WBGene00000038,CES5A
caenorhabditis_elegans_prjna13758,WBGene00000038,CES2
caenorhabditis_elegans_prjna13758,WBGene00000038,NLGN2
caenorhabditis_elegans_prjna13758,WBGene00000039,ACE2
caenorhabditis_elegans_prjna13758,WBGene00000040,IREB2
caenorhabditis_elegans_prjna13758,WBGene00000040,ACO1
caenorhabditis_elegans_prjna13758,WBGene00000041,ACO2
caenorhabditis_elegans_prjna13758,WBGene00000042,
caenorhabditis_elegans_prjna13758,WBGene00000043,
caenorhabditis_elegans_prjna13758,WBGene00000044,
caenorhabditis_elegans_prjna13758,WBGene00000045,
caenorhabditis_elegans_prjna13758,WBGene00000046,
caenorhabditis_elegans_prjna13758,WBGene00000047,
caenorhabditis_elegans_prjna13758,WBGene00000048,
caenorhabditis_elegans_prjna13758,WBGene00000049,
caenorhabditis_elegans_prjna13758,WBGene00000050,
caenorhabditis_elegans_prjna13758,WBGene00000051,
caenorhabditis_elegans_prjna13758,WBGene00000053,
caenorhabditis_elegans_prjna13758,WBGene00000054,
caenorhabditis_elegans_prjna13758,WBGene00000055,
caenorhabditis_elegans_prjna13758,WBGene00000056,
caenorhabditis_elegans_prjna13758,WBGene00000057,
caenorhabditis_elegans_prjna13758,WBGene00000058,
caenorhabditis_elegans_prjna13758,WBGene00000059,
caenorhabditis_elegans_prjna13758,WBGene00000060,
caenorhabditis_elegans_prjna13758,WBGene00000061,
caenorhabditis_elegans_prjna13758,WBGene00000062,
caenorhabditis_elegans_prjna13758,WBGene00000063,ACTB
caenorhabditis_elegans_prjna13758,WBGene00000063,ACTG1
caenorhabditis_elegans_prjna13758,WBGene00000064,ACTB
caenorhabditis_elegans_prjna13758,WBGene00000064,ACTG1
caenorhabditis_elegans_prjna13758,WBGene00000065,ACTB
caenorhabditis_elegans_prjna13758,WBGene00000065,ACTG1
caenorhabditis_elegans_prjna13758,WBGene00000066,ACTB
caenorhabditis_elegans_prjna13758,WBGene00000066,ACTG1
caenorhabditis_elegans_prjna13758,WBGene00000067,
caenorhabditis_elegans_prjna13758,WBGene00000068,ADCY9
caenorhabditis_elegans_prjna13758,WBGene00000069,
caenorhabditis_elegans_prjna13758,WBGene00000070,
caenorhabditis_elegans_prjna13758,WBGene00000071,
caenorhabditis_elegans_prjna13758,WBGene00000072,ADD1
caenorhabditis_elegans_prjna13758,WBGene00000072,ADD2
caenorhabditis_elegans_prjna13758,WBGene00000072,ADD3
caenorhabditis_elegans_prjna13758,WBGene00000073,ADD1
caenorhabditis_elegans_prjna13758,WBGene00000073,ADD2
caenorhabditis_elegans_prjna13758,WBGene00000073,ADD3
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM29
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM22
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM28
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM9
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM10
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM23
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM12
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM32
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM15
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAMDEC1
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM8
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM7
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM30
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM2
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM18
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM11
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM21
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM19
caenorhabditis_elegans_prjna13758,WBGene00000074,ADAM33
caenorhabditis_elegans_prjna13758,WBGene00000075,ADAM17
caenorhabditis_elegans_prjna13758,WBGene00000079,ADAT1
caenorhabditis_elegans_prjna13758,WBGene00000080,ADAR
caenorhabditis_elegans_prjna13758,WBGene00000081,AGPS
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTSL5
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS10
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS18
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTSL2
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS17
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS8
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS19
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS5
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS15
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS1
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS13
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS2
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS3
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTSL3
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS4
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS6
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS16
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTSL4
caenorhabditis_elegans_prjna13758,WBGene00000082,THSD4
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTSL1
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS12
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS7
caenorhabditis_elegans_prjna13758,WBGene00000082,ADAMTS14
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTSL5
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS10
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS18
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTSL2
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS17
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS8
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS19
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS5
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS15
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS1
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS13
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS2
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS3
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTSL3
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS4
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS6
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS16
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTSL4
caenorhabditis_elegans_prjna13758,WBGene00000083,THSD4
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTSL1
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS12
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS7
caenorhabditis_elegans_prjna13758,WBGene00000083,ADAMTS14
caenorhabditis_elegans_prjna13758,WBGene00000084,
caenorhabditis_elegans_prjna13758,WBGene00000085,
caenorhabditis_elegans_prjna13758,WBGene00000086,MADD
caenorhabditis_elegans_prjna13758,WBGene00000088,FURIN
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK4
caenorhabditis_elegans_prjna13758,WBGene00000088,MBTPS1
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK5
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK9
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK7
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK6
caenorhabditis_elegans_prjna13758,WBGene00000088,PCSK1
caenorhabditis_elegans_prjna13758,WBGene00000089,RAB27A
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3CB
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3C2G
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3C2B
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3C2A
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3CD
caenorhabditis_elegans_prjna13758,WBGene00000090,PIK3CA
caenorhabditis_elegans_prjna13758,WBGene00000092,TTC24
caenorhabditis_elegans_prjna13758,WBGene00000092,TTC29
caenorhabditis_elegans_prjna13758,WBGene00000092,GPSM3
caenorhabditis_elegans_prjna13758,WBGene00000092,TTC28
caenorhabditis_elegans_prjna13758,WBGene00000093,
caenorhabditis_elegans_prjna13758,WBGene00000094,
caenorhabditis_elegans_prjna13758,WBGene00000095,CLOCK
caenorhabditis_elegans_prjna13758,WBGene00000095,NPAS2
caenorhabditis_elegans_prjna13758,WBGene00000095,ARNT
caenorhabditis_elegans_prjna13758,WBGene00000095,ARNT2
caenorhabditis_elegans_prjna13758,WBGene00000096,AHRR
caenorhabditis_elegans_prjna13758,WBGene00000096,AC019117.3
caenorhabditis_elegans_prjna13758,WBGene00000096,AHR
caenorhabditis_elegans_prjna13758,WBGene00000097,ZFAND2B
caenorhabditis_elegans_prjna13758,WBGene00000098,AURKC
caenorhabditis_elegans_prjna13758,WBGene00000099,AURKB
caenorhabditis_elegans_prjna13758,WBGene00000100,
caenorhabditis_elegans_prjna13758,WBGene00000101,RUNDC3B
caenorhabditis_elegans_prjna13758,WBGene00000101,RUFY2
caenorhabditis_elegans_prjna13758,WBGene00000101,RUNDC3A
caenorhabditis_elegans_prjna13758,WBGene00000101,ZFYVE1
caenorhabditis_elegans_prjna13758,WBGene00000101,PLEKHM2
caenorhabditis_elegans_prjna13758,WBGene00000101,ZFYVE28
caenorhabditis_elegans_prjna13758,WBGene00000101,RUFY1
caenorhabditis_elegans_prjna13758,WBGene00000101,ZFYVE19
caenorhabditis_elegans_prjna13758,WBGene00000101,PLEKHF1
caenorhabditis_elegans_prjna13758,WBGene00000101,RUFY3
caenorhabditis_elegans_prjna13758,WBGene00000101,SNX29
caenorhabditis_elegans_prjna13758,WBGene00000101,ZFYVE26
caenorhabditis_elegans_prjna13758,WBGene00000102,PRKCQ
caenorhabditis_elegans_prjna13758,WBGene00000102,PRKCD
caenorhabditis_elegans_prjna13758,WBGene00000103,PRKCQ
caenorhabditis_elegans_prjna13758,WBGene00000103,PRKCD
caenorhabditis_elegans_prjna13758,WBGene00000105,AGO2
caenorhabditis_elegans_prjna13758,WBGene00000106,AGO2
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000107,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000108,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH1B1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH1L1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000109,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000110,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000111,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000112,ALDH4A1
caenorhabditis_elegans_prjna13758,WBGene00000113,ALDH5A1
caenorhabditis_elegans_prjna13758,WBGene00000114,ALDH6A1
caenorhabditis_elegans_prjna13758,WBGene00000115,ALDH7A1
caenorhabditis_elegans_prjna13758,WBGene00000116,ALDH8A1
caenorhabditis_elegans_prjna13758,WBGene00000117,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH9A1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH1A2
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH16A1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH3A1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH1B1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH1L1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH3B1
caenorhabditis_elegans_prjna13758,WBGene00000118,ALDH1L2
caenorhabditis_elegans_prjna13758,WBGene00000120,POLDIP3
caenorhabditis_elegans_prjna13758,WBGene00000120,CHTOP
caenorhabditis_elegans_prjna13758,WBGene00000121,POLDIP3
caenorhabditis_elegans_prjna13758,WBGene00000121,CHTOP
caenorhabditis_elegans_prjna13758,WBGene00000122,POLDIP3
caenorhabditis_elegans_prjna13758,WBGene00000122,CHTOP
caenorhabditis_elegans_prjna13758,WBGene00000123,POLR2A
caenorhabditis_elegans_prjna13758,WBGene00000133,
caenorhabditis_elegans_prjna13758,WBGene00000134,
caenorhabditis_elegans_prjna13758,WBGene00000135,
caenorhabditis_elegans_prjna13758,WBGene00000136,
caenorhabditis_elegans_prjna13758,WBGene00000137,IL4I1
caenorhabditis_elegans_prjna13758,WBGene00000138,IL4I1
caenorhabditis_elegans_prjna13758,WBGene00000138,PAOX
caenorhabditis_elegans_prjna13758,WBGene00000138,AL360181.3
caenorhabditis_elegans_prjna13758,WBGene00000138,SMOX
caenorhabditis_elegans_prjna13758,WBGene00000138,MAOA
caenorhabditis_elegans_prjna13758,WBGene00000138,MAOB
caenorhabditis_elegans_prjna13758,WBGene00000139,IL4I1
caenorhabditis_elegans_prjna13758,WBGene00000139,PAOX
caenorhabditis_elegans_prjna13758,WBGene00000139,AL360181.3
caenorhabditis_elegans_prjna13758,WBGene00000139,SMOX
caenorhabditis_elegans_prjna13758,WBGene00000139,MAOA
caenorhabditis_elegans_prjna13758,WBGene00000139,MAOB
caenorhabditis_elegans_prjna13758,WBGene00000140,PKHD1L1
caenorhabditis_elegans_prjna13758,WBGene00000140,FLNA
caenorhabditis_elegans_prjna13758,WBGene00000140,FLNC
caenorhabditis_elegans_prjna13758,WBGene00000140,PKHD1
caenorhabditis_elegans_prjna13758,WBGene00000140,GAS2L3
caenorhabditis_elegans_prjna13758,WBGene00000140,DYTN
caenorhabditis_elegans_prjna13758,WBGene00000140,DTNB
caenorhabditis_elegans_prjna13758,WBGene00000140,PLEC
caenorhabditis_elegans_prjna13758,WBGene00000140,EPPK1
caenorhabditis_elegans_prjna13758,WBGene00000140,SYNE3
caenorhabditis_elegans_prjna13758,WBGene00000140,CLMN
caenorhabditis_elegans_prjna13758,WBGene00000140,DSP
caenorhabditis_elegans_prjna13758,WBGene00000140,SPTA1
caenorhabditis_elegans_prjna13758,WBGene00000140,SYNE2
caenorhabditis_elegans_prjna13758,WBGene00000142,SAE1
caenorhabditis_elegans_prjna13758,WBGene00000143,ANAPC2
caenorhabditis_elegans_prjna13758,WBGene00000144,ANAPC10
caenorhabditis_elegans_prjna13758,WBGene00000144,AC098588.1
caenorhabditis_elegans_prjna13758,WBGene00000145,
caenorhabditis_elegans_prjna13758,WBGene00000146,PPP1R13B
caenorhabditis_elegans_prjna13758,WBGene00000146,TP53BP2
caenorhabditis_elegans_prjna13758,WBGene00000147,APH1B
caenorhabditis_elegans_prjna13758,WBGene00000147,APH1A
caenorhabditis_elegans_prjna13758,WBGene00000148,NCSTN
caenorhabditis_elegans_prjna13758,WBGene00000149,APLP1
caenorhabditis_elegans_prjna13758,WBGene00000149,APLP2
caenorhabditis_elegans_prjna13758,WBGene00000149,APP
caenorhabditis_elegans_prjna13758,WBGene00000150,AP4M1
caenorhabditis_elegans_prjna13758,WBGene00000150,STON2
