,mouse_name,Mouse_ID,human_name,Human_ID
531,Mapre3,100732,MAPRE3,22924
819,Ccdc109b,66815,MCUB,55013
670,Mdm1,17245,MDM1,56890
919,Mdm4,17248,MDM4,4194
859,Med26,70625,MED26,9441
799,Med31,67279,MED31,51003
590,Medag,70717,MEDAG,84935
1,Meig1,104362,MEIG1,644890
883,Meox1,17285,MEOX1,4222
731,Mfsd6l,215723,MFSD6L,162387
868,Mief2,237781,MIEF2,125170
359,Mipep,70478,MIPEP,4285
445,Mipol1,73490,MIPOL1,145282
636,Misp,78906,MISP,126353
2,Mks1,380718,MKS1,54903
899,Mlec,109154,MLEC,9761
3,Mlf1,17349,MLF1,4291
833,Mlycd,56690,MLYCD,23417
882,Mmp23,26561,MMP23B,8510
184,Mmp3,17392,MMP3,4314
345,Mns1,17427,MNS1,55329
540,Morn2,378462,MORN2,729967
4,Morn5,75495,MORN5,254956
876,Mrpl47,74600,MRPL47,57129
748,Mrps17,66258,MRPS17,51373
447,Mtfr2,71804,MTFR2,113115
358,Mthfsd,234814,MTHFSD,64779
375,Mtus2,77521,MTUS2,23281
5,Myb,17863,MYB,4602
186,Mylk3,213435,MYLK3,91807
551,Narfl,67563,NARFL,64428
939,Nat2,17961,NAT1,9
591,Nat8l,269642,NAT8L,339983
713,Ncs1,14299,NCS1,23413
916,Ndor1,78797,NDOR1,27158
637,Ndrg4,234593,NDRG4,65009
752,Ndufaf3,66706,NDUFAF3,25915
760,Nek1,18004,NEK1,4750
6,Nek11,208583,NEK11,79858
448,Nek2,18005,NEK2,4751
638,Nfe2,18022,NFE2,4778
877,Nfkbie,18037,NFKBIE,4794
632,Nfs1,18041,NFS1,9054
187,Nhlrc4,621239,NHLRC4,283948
781,Nhp2,52530,NHP2,55651
666,Nin,18080,NIN,51199
449,Nlgn3,245537,NLGN3,54413
353,Nme5,75533,NME5,8382
384,Nme7,171567,NME7,29922
188,Nme9,623534,NME9,347736
938,Nnat,18111,NNAT,4826
189,Nnmt,18113,NNMT,4837
190,Npb,208990,NPB,256933
7,Nphp1,53885,NPHP1,4867
714,Nphp3,74025,NPHP3,27031
684,Nr2c1,22025,NR2C1,7181
715,Nrg4,83961,NRG4,145957
676,Nrk,27206,NRK,203447
806,Nsmaf,18201,NSMAF,8439
502,Nsun7,70918,NSUN7,79730
791,Nudc,18221,NUDC,10726
519,Nudt15,214254,NUDT15,55270
621,Odf2l,52184,ODF2L,57489
9,Odf3b,70113,ODF3B,440836
371,Olfml2b,320078,OLFML2B,25903
538,Orai2,269717,ORAI2,80228
10,Oscp1,230751,OSCP1,127700
11,Otud1,71198,OTUD1,220213
886,Ovol1,18426,OVOL1,5017
192,P2rx6,18440,P2RX6,9127
716,Paqr6,68957,PAQR6,79957
450,Pbx4,80720,PBX4,80714
451,Pcsk4,18551,PCSK4,54760
12,Pcyt1b,236899,PCYT1B,9468
639,Pde1c,18575,PDE1C,5137
452,Pdgfrl,68797,PDGFRL,5157
673,Pdxk,216134,PDXK,8566
954,Pfdn2,18637,PFDN2,5202
548,Pfn2,18645,PFN2,5217
13,Pgc,109820,PGC,5225
629,Pgpep1,66522,PGPEP1,54858
14,Pifo,100503311,PIFO,128344
453,Pigw,70325,PIGW,284098
15,Pih1d2,72614,PIH1D2,120379
354,Pim2,18715,PIM2,11040
405,Pip5k1b,18719,PIP5K1B,8395
680,Pisd,320951,PISD,23761
895,Pkp4,227937,PKP4,8502
549,Pla2g4a,18783,PLA2G4A,5321
277,Plac1,56096,PLAC1,10761
513,Plat,18791,PLAT,5327
110,Plch2,269615,PLCH2,9651
756,Pld1,18805,PLD1,5337
770,Plekhg3,263406,PLEKHG3,26030
816,Plekhn1,231002,PLEKHN1,84069
907,Plk1,18817,PLK1,5347
509,Plxna3,18846,PLXNA3,55558
278,Pnma1,70481,PNMA1,9240
951,Poc5,67463,POC5,134359
787,Polr3k,67005,POLR3K,51728
908,Postn,50706,POSTN,10631
490,Ppfia2,327814,PPFIA2,8499
111,Ppil6,73075,PPIL6,285755
279,Ppp1r32,67752,PPP1R32,220004
112,Ppp1r36,210762,PPP1R36,145376
491,Ppp1r3d,228966,PPP1R3D,5509
790,Ppp2ca,19052,PPP2CA,5515
663,Prmt2,15468,PRMT2,3275
855,Prodh,19125,PRODH,5625
701,Prom1,19126,PROM1,8842
280,Prr16,71373,PRR16,51334
826,Prrx1,18933,PRRX1,5396
825,Prss35,244954,PRSS35,167681
761,Pspc1,66645,PSPC1,55269
415,Psrc1,56742,PSRC1,84722
543,Ptdss2,27388,PTDSS2,81490
604,Ptger3,19218,PTGER3,5733
817,Ptn,19242,PTN,5764
644,Ptpro,19277,PTPRO,5800
281,Ptprt,19281,PTPRT,11122
416,Ptrh1,329384,PTRH1,138428
417,Pxylp1,235534,PXYLP1,92370
418,Pycr1,209027,PYCR1,5831
605,Pygo1,72135,PYGO1,26108
282,Qsox2,227638,QSOX2,169714
523,Rab23,19335,RAB23,51715
113,Rab36,76877,RAB36,9609
572,Rab3ip,216363,RAB3IP,117177
675,Rabl2,68708,RABL2A,11159
283,Rabl3,67657,RABL3,285282
892,Rad18,58186,RAD18,56852
743,Ramp1,51801,RAMP1,10267
419,Rassf10,78748,RASSF10,644943
606,Rassf6,73246,RASSF6,166824
866,Rassf9,237504,RASSF9,9182
779,Rb1,19645,RB1,5925
114,Rbm11,224344,RBM11,54033
607,Rbpms2,71973,RBPMS2,348093
209,Wbscr16,94254,RCC1L,81554
284,Reep2,225362,REEP2,51308
776,Rem1,19700,REM1,28954
525,Retsat,67442,RETSAT,54884
115,Rfx2,19725,RFX2,5990
420,Rgs11,50782,RGS11,8786
116,Rgs22,626596,RGS22,26166
608,Rgs9,19739,RGS9,8787
945,Rhbdd1,76867,RHBDD1,84236
117,Riiad1,66353,RIIAD1,284485
532,Rmnd5b,66089,RMND5B,64777
285,Rnf128,66889,RNF128,79589
891,Rnf150,330812,RNF150,57484
118,Rnf182,328234,RNF182,221687
421,Rnf208,68846,RNF208,727800
286,Rnf32,56874,RNF32,140545
422,Ropn1l,252967,ROPN1L,83853
287,Rp1,19888,RP1,6101
537,Rpgrip1l,244585,RPGRIP1L,23322
493,Rpp38,227522,RPP38,10557
633,Rps19bp1,66538,RPS19BP1,91582
120,Rsph1,22092,RSPH1,89765
288,Rsph4a,212892,RSPH4A,345895
361,Rsph9,75564,RSPH9,221421
703,Rspo1,192199,RSPO1,284654
649,Ruvbl1,56505,RUVBL1,8607
510,Rwdd2b,53858,RWDD2B,10069
289,Rxfp4,242093,RXFP4,339403
580,Rxra,20181,RXRA,6256
657,Sbf1,77980,SBF1,6305
738,Sccpdh,109232,SCCPDH,51097
423,Scrn2,217140,SCRN2,90507
672,Sec14l3,380683,SEC14L3,266629
424,Sec16b,89867,SEC16B,89866
911,Senp8,71599,SENP8,123228
669,Serf1,20365,SERF1A,8293
668,Serf1,20365,SERF1B,728492
121,Serpina9,71907,SERPINA9,327657
704,Serpinc1,11905,SERPINC1,462
786,Sh2b1,20399,SH2B1,25970
425,Shisa3,330096,SHISA3,152573
565,Siae,22619,SIAE,54414
944,Sik2,235344,SIK2,23235
808,Slc18a2,214084,SLC18A2,6571
706,Slc1a4,55963,SLC1A4,6509
426,Slc25a35,71998,SLC25A35,399512
292,Slc30a2,230810,SLC30A2,7780
820,Slc37a4,14385,SLC37A4,2542
890,Slc39a3,106947,SLC39A3,29985
943,Slc4a4,54403,SLC4A4,8671
293,Slc7a3,11989,SLC7A3,84889
492,Slc7a6,330836,SLC7A6,9057
505,Smim22,432995,SMIM22,440335
122,Smim5,66528,SMIM5,643008
294,Sntn,218739,SNTN,132203
370,Spa17,20686,SPA17,53340
295,Spag16,66722,SPAG16,79582
123,Spag17,74362,SPAG17,200162
125,Spag8,433700,SPAG8,26206
296,Spata17,74717,SPATA17,128153
126,Spata18,73472,SPATA18,132671
378,Spata24,71242,SPATA24,202051
297,Spef1,70997,SPEF1,25876
127,Spef2,320277,SPEF2,79925
765,Spint2,20733,SPINT2,10653
298,Spire2,234857,SPIRE2,84501
559,Spon2,100689,SPON2,10417
454,Sptlc3,228677,SPTLC3,55304
193,Sptssb,66183,SPTSSB,165679
400,Sqle,20775,SQLE,6713
455,Srd5a1,78925,SRD5A1,6715
854,Srd5a3,57357,SRD5A3,79644
433,Ssc5d,269855,SSC5D,284297
194,Ssmem1,75647,SSMEM1,136263
742,Stat5a,20850,STAT5A,6776
529,Steap2,74051,STEAP2,261729
566,Stk19,54402,STK19,8859
17,Stk33,117229,STK33,65975
195,Stmnd1,380842,STMND1,401236
758,Ston2,108800,STON2,85439
736,Strn4,97387,STRN4,29888
717,Sulf1,240725,SULF1,23213
831,Svopl,320590,SVOPL,136306
805,Swi5,72931,SWI5,375757
434,Syt10,54526,SYT10,341359
196,Syt5,53420,SYT5,6861
809,Syvn1,74126,SYVN1,84447
778,Szrd1,213491,SZRD1,26099
923,Tacstd2,56753,TACSTD2,4070
718,Tbc1d22b,381085,TBC1D22B,55633
582,Tbcc,72726,TBCC,6903
821,Tbl2,27368,TBL2,26608
552,Tcea3,21401,TCEA3,6920
631,Tcirg1,27060,TCIRG1,10312
18,Tcp11,21463,TCP11,6954
431,Gm3417,100041586,TCTE3,6991
198,Tctex1d4,242646,TCTEX1D4,343521
355,Tctn2,67978,TCTN2,79867
19,Tekt1,21689,TEKT1,83659
20,Tekt2,24084,TEKT2,27285
21,Tekt4,71840,TEKT4,150483
585,Telo2,71718,TELO2,9894
22,Tex26,75860,TEX26,122046
814,Tex9,21778,TEX9,374618
789,Tm9sf4,99237,TM9SF4,9777
628,Tmco3,234076,TMCO3,55002
199,Tmem102,380705,TMEM102,284114
411,Tmem107,66910,TMEM107,84314
521,Tmem125,230678,TMEM125,128218
850,Tmem126b,68472,TMEM126B,55863
630,Tmem129,68366,TMEM129,92305
200,Tmem132d,243274,TMEM132D,121256
528,Tmem161a,234371,TMEM161A,54929
875,Tmem19,67226,TMEM19,55266
201,Tmem212,208613,TMEM212,389177
202,Tmem215,320500,TMEM215,401498
924,Tmem231,234740,TMEM231,79583
23,Tmem25,71687,TMEM25,84866
874,Tmem39a,67846,TMEM39A,55254
925,Tmem45a,56277,TMEM45A,55076
507,Tmem53,68777,TMEM53,79639
203,Tmem54,66260,TMEM54,113452
811,Tmem64,100201,TMEM64,169200
539,Tmem65,74868,TMEM65,157378
24,Tmem67,329795,TMEM67,91147
634,Tmem79,71913,TMEM79,84283
926,Tmem8,60455,TMEM8A,58986
823,Tnfaip8l2,69769,TNFAIP8L2,79626
25,Tnn,329278,TNN,63923
26,Tnni3,21954,TNNI3,7137
620,Toe1,68276,TOE1,114034
846,Fam179b,328108,TOGARAM1,23116
98,Fam179a,320159,TOGARAM2,165186
27,Tomm20l,75266,TOMM20L,387990
653,Top3b,21976,TOP3B,8940
662,Tpgs2,66648,TPGS2,25941
545,Tppp3,67971,TPPP3,51673
863,Tpx2,72119,TPX2,22974
28,Traf1,22029,TRAF1,7185
373,Traf3ip1,74019,TRAF3IP1,26146
581,Trim2,80890,TRIM2,23321
847,Trip11,109181,TRIP11,9321
915,Trit1,66966,TRIT1,54802
862,Trmt12,68260,TRMT12,55039
861,Trub1,72133,TRUB1,142940
205,Tsnaxip1,72236,TSNAXIP1,55815
206,Tssk4,71099,TSSK4,283629
547,Ttbk2,140810,TTBK2,146057
29,Ttc12,235330,TTC12,54970
207,Ttc16,338348,TTC16,158248
31,Ttc21a,74052,TTC21A,199223
32,Ttc25,74407,TTC25,83538
584,Ttc26,264134,TTC26,79989
33,Ttc36,192653,TTC36,143941
719,Ttc39a,230603,TTC39A,22996
837,Ttc7b,104718,TTC7B,145567
664,Tti1,75425,TTI1,9675
34,Ttll6,237930,TTLL6,284076
927,Tubgcp2,74237,TUBGCP2,10844
813,Tubgcp3,259279,TUBGCP3,10426
